# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/home/nu/Diff_proj/Homo_sapiens.GRCh37.75_subset.gtf" "-g" "gene_name" "-o" "counts.txt" "Bam_org/UNT_SRR1039508_subset.bam" "Bam_org/UNT_SRR1039512_subset.bam" "Bam_org/UNT_SRR1039516_subset.bam" "Bam_org/UNT_SRR1039520_subset.bam" "Bam_org/TTT_SRR1039509_subset.bam" "Bam_org/TTT_SRR1039513_subset.bam" "Bam_org/TTT_SRR1039517_subset.bam" "Bam_org/TTT_SRR1039521_subset.bam" 
Geneid	Chr	Start	End	Strand	Length	Bam_org/UNT_SRR1039508_subset.bam	Bam_org/UNT_SRR1039512_subset.bam	Bam_org/UNT_SRR1039516_subset.bam	Bam_org/UNT_SRR1039520_subset.bam	Bam_org/TTT_SRR1039509_subset.bam	Bam_org/TTT_SRR1039513_subset.bam	Bam_org/TTT_SRR1039517_subset.bam	Bam_org/TTT_SRR1039521_subset.bam
RP4-635E18.6	1;1;1;1	11159732;11159732;11161858;11161858	11159871;11159967;11162108;11162157	+;+;+;+	536	4	8	1	1	0	11	9	9
MTOR	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	11166592;11166592;11167342;11167364;11168238;11168238;11168238;11168238;11169347;11169347;11169347;11169347;11169360;11169706;11169706;11169706;11169706;11169706;11171571;11172909;11172909;11172909;11172909;11172909;11174375;11174375;11174375;11174375;11174375;11174870;11174870;11174870;11174870;11175453;11175453;11175453;11175453;11177061;11177061;11181303;11181303;11182036;11182036;11184555;11184555;11186679;11186679;11187067;11187067;11187681;11187681;11188061;11188061;11188511;11188511;11188912;11188912;11189795;11189795;11190586;11190586;11191651;11193137;11194408;11194408;11199011;11199361;11199361;11199590;11199590;11199590;11204705;11204705;11205025;11206733;11210183;11217209;11227499;11259315;11259598;11264618;11269369;11270871;11272369;11272853;11273456;11276205;11288725;11290982;11291357;11292493;11293455;11294200;11297900;11298459;11300360;11301610;11303171;11307682;11307876;11313896;11316049;11316990;11318542;11319305;11322502	11167557;11167557;11167557;11167557;11168343;11168343;11168343;11168343;11169427;11169427;11169427;11169427;11169427;11169786;11169786;11169786;11169786;11169786;11171810;11172974;11172974;11172974;11172974;11172974;11174510;11174510;11174510;11174686;11174510;11174944;11174944;11174944;11174944;11175720;11175525;11175584;11175525;11177143;11177143;11181425;11181425;11182183;11182183;11184690;11184690;11186853;11186853;11187201;11187201;11187863;11187863;11188183;11188183;11188609;11188609;11189008;11189008;11189895;11189895;11190834;11191615;11193254;11193254;11194523;11194523;11199492;11199492;11199492;11199715;11199717;11199715;11205082;11204812;11205102;11206848;11210283;11217348;11227574;11259460;11259760;11264760;11269515;11270963;11272531;11272965;11273623;11276291;11288975;11291111;11291491;11292585;11293544;11294322;11298105;11298674;11300604;11301738;11303357;11307790;11308151;11314030;11316249;11317222;11318650;11319480;11322564	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	12119	3127	3511	4233	2493	3447	3964	6605	5060
MTOR-AS1	1;1;1;1;1;1;1;1	11203955;11204481;11204724;11204724;11205210;11205210;11209327;11209327	11204044;11204538;11204943;11204943;11205336;11205336;11209594;11209594	+;+;+;+;+;+;+;+	763	1	0	0	0	0	1	0	0
RNU6-537P	1	11212407	11212509	+	103	1	0	0	0	0	0	0	0
snoU13	1	11229564	11229670	-	107	0	0	0	0	0	0	0	0
ANGPTL7	1;1;1;1;1;1;1;1	11249398;11252327;11253637;11253684;11254518;11254583;11254911;11254911	11250012;11252427;11253831;11253831;11254716;11254716;11256038;11255235	+;+;+;+;+;+;+;+	2238	8	38	2	28	100	1086	20	2131
RNU6-291P	1	11286311	11286417	+	107	0	0	0	0	0	1	0	0
RPL39P6	1	11293020	11293169	+	150	0	0	0	0	0	0	0	0
UBIAD1	1;1;1;1;1;1;1;1;1;1;1;1	11333263;11333585;11333946;11333991;11345701;11345701;11345701;11352106;11353524;11354930;11354930;11354930	11334117;11334117;11334117;11334117;11345789;11348491;11345789;11352204;11353683;11356106;11355240;11355221	+;+;+;+;+;+;+;+;+;+;+;+	5082	436	467	533	412	512	496	922	795
UBE2V2P3	1;1	11338673;11339225	11338925;11339408	-;-	437	0	0	2	0	1	0	0	0
